"Executed Date","BOROUGH","count"
"12/12/2022","MANHATTAN","2"
"10/30/2019","QUEENS","9"
"04/29/2022","STATEN ISLAND","1"
"03/12/2025","BRONX","42"
"10/17/2018","BRONX","36"
"06/03/2024","QUEENS","16"
"08/06/2021","BRONX","2"
"10/12/2023","BRONX","46"
"01/30/2023","STATEN ISLAND","6"
"01/02/2018","BRONX","10"
"06/17/2019","BRONX","29"
"04/04/2019","BROOKLYN","20"
"01/10/2023","BRONX","6"
"08/16/2019","BRONX","21"
"09/12/2022","BRONX","4"
"05/24/2024","MANHATTAN","1"
"12/07/2023","QUEENS","1"
"08/04/2023","BRONX","11"
"06/09/2025","BROOKLYN","31"
"10/01/2025","BROOKLYN","4"
"10/23/2024","STATEN ISLAND","3"
"11/01/2023","BROOKLYN","14"
"01/30/2019","STATEN ISLAND","3"
"04/04/2019","MANHATTAN","14"
"09/28/2023","QUEENS","3"
"07/12/2018","BRONX","35"
"11/01/2018","QUEENS","23"
"03/09/2023","BRONX","15"
"09/09/2022","QUEENS","5"
"08/29/2019","BRONX","24"
"02/02/2018","BRONX","19"
"07/12/2021","BRONX","1"
"05/30/2024","MANHATTAN","13"
"06/13/2024","QUEENS","5"
"12/21/2023","BRONX","1"
"02/16/2023","MANHATTAN","8"
"05/02/2017","STATEN ISLAND","11"
"09/18/2019","MANHATTAN","2"
"12/18/2019","QUEENS","6"
"09/27/2019","MANHATTAN","3"
"10/07/2022","QUEENS","4"
"10/28/2024","QUEENS","14"
"04/18/2019","BROOKLYN","9"
"11/21/2017","QUEENS","10"
"04/05/2023","MANHATTAN","9"
"08/15/2025","BRONX","7"
"04/14/2023","QUEENS","9"
"01/26/2022","STATEN ISLAND","1"
"03/25/2022","BROOKLYN","12"
"12/18/2019","BRONX","11"
"06/14/2018","QUEENS","20"
"05/16/2024","STATEN ISLAND","8"
"03/20/2019","BROOKLYN","44"
"11/19/2019","BROOKLYN","31"
"02/24/2025","BROOKLYN","45"
"08/22/2022","STATEN ISLAND","1"
"03/30/2023","MANHATTAN","10"
"10/16/2018","STATEN ISLAND","7"
"02/20/2018","BRONX","50"
"01/08/2025","STATEN ISLAND","3"
"02/20/2018","QUEENS","13"
"05/02/2017","BROOKLYN","43"
"07/31/2025","MANHATTAN","23"
"01/24/2017","BRONX","34"
"04/12/2018","MANHATTAN","14"
"06/07/2019","STATEN ISLAND","3"
"10/10/2025","BROOKLYN","22"
"08/24/2023","MANHATTAN","19"
"03/14/2024","STATEN ISLAND","5"
"09/08/2017","STATEN ISLAND","1"
"04/24/2025","MANHATTAN","14"
"07/15/2019","BROOKLYN","23"
"06/06/2023","STATEN ISLAND","4"
"07/23/2018","BRONX","15"
"01/29/2025","BRONX","35"
"05/14/2018","STATEN ISLAND","1"
"06/20/2024","STATEN ISLAND","2"
"02/22/2019","STATEN ISLAND","3"
"08/06/2019","MANHATTAN","28"
"03/22/2023","STATEN ISLAND","1"
"04/16/2019","STATEN ISLAND","2"
"05/22/2018","QUEENS","10"
"05/15/2017","MANHATTAN","18"
"06/30/2025","MANHATTAN","21"
"08/15/2019","STATEN ISLAND","2"
"06/02/2025","STATEN ISLAND","3"
"04/07/2023","BROOKLYN","6"
"02/28/2019","STATEN ISLAND","2"
"04/08/2022","BRONX","2"
"01/04/2019","BROOKLYN","32"
"01/18/2019","MANHATTAN","9"
"08/13/2019","QUEENS","13"
"03/28/2024","BRONX","16"
"01/08/2020","BRONX","43"
"02/28/2025","STATEN ISLAND","1"
"01/25/2019","BRONX","34"
"10/09/2025","BRONX","22"
"01/13/2025","STATEN ISLAND","2"
"04/21/2017","QUEENS","21"
"02/07/2018","QUEENS","12"
"11/28/2023","BROOKLYN","18"
"09/24/2018","STATEN ISLAND","3"
"08/29/2017","MANHATTAN","22"
"08/14/2019","BROOKLYN","18"
"09/22/2022","MANHATTAN","7"
"11/06/2017","STATEN ISLAND","1"
"03/27/2019","BROOKLYN","24"
"03/18/2024","STATEN ISLAND","4"
"03/11/2020","BROOKLYN","36"
"08/25/2022","STATEN ISLAND","1"
"09/19/2018","BRONX","19"
"09/05/2017","MANHATTAN","31"
"06/26/2018","STATEN ISLAND","4"
"10/18/2024","BRONX","10"
"11/13/2024","MANHATTAN","12"
"07/17/2025","QUEENS","21"
"02/01/2019","BRONX","50"
"01/27/2023","BRONX","3"
"05/27/2022","QUEENS","2"
"02/22/2023","QUEENS","2"
"03/29/2023","BROOKLYN","9"
"05/02/2025","BROOKLYN","34"
"06/07/2024","BROOKLYN","24"
"07/12/2021","BROOKLYN","2"
"12/06/2022","QUEENS","2"
"07/08/2024","QUEENS","11"
"01/03/2019","STATEN ISLAND","2"
"07/24/2017","QUEENS","36"
"01/09/2024","BRONX","28"
"08/19/2021","BROOKLYN","1"
"11/30/2017","QUEENS","17"
"06/19/2017","BRONX","20"
"01/07/2019","STATEN ISLAND","5"
"02/24/2025","STATEN ISLAND","11"
"01/31/2018","STATEN ISLAND","4"
"12/20/2017","BROOKLYN","1"
"07/25/2019","MANHATTAN","11"
"04/03/2025","MANHATTAN","4"
"01/07/2019","QUEENS","25"
"11/05/2018","MANHATTAN","19"
"04/30/2024","BRONX","11"
"06/28/2024","STATEN ISLAND","2"
