"CMPLNT_FR_DT","BORO_NM","count"
"11/17/2020","BROOKLYN","320"
"12/14/2017","QUEENS","189"
"11/20/2004","QUEENS","1"
"05/06/2007","BRONX","269"
"10/16/2011","MANHATTAN","283"
"09/27/2010","MANHATTAN","299"
"11/05/2020","STATEN ISLAND","31"
"10/17/2018","BRONX","277"
"01/07/1910","BROOKLYN","1"
"12/16/2023","MANHATTAN","421"
"12/04/1018","BROOKLYN","1"
"10/12/2023","BRONX","344"
"08/05/2017","BROOKLYN","393"
"06/17/2019","BRONX","293"
"02/23/2006","STATEN ISLAND","81"
"06/17/2008","QUEENS","289"
"09/23/2020","QUEENS","216"
"04/15/2018","STATEN ISLAND","51"
"05/26/2013","BRONX","232"
"08/03/2009","MANHATTAN","296"
"02/13/2016","STATEN ISLAND","45"
"11/28/2012","BRONX","264"
"02/20/2021","BROOKLYN","309"
"11/14/2012","BRONX","265"
"08/04/2023","BRONX","336"
"10/14/2007","(null)","1"
"02/19/2016","QUEENS","222"
"06/20/2007","MANHATTAN","371"
"12/18/2010","STATEN ISLAND","54"
"11/14/2009","MANHATTAN","360"
"12/25/2019","STATEN ISLAND","55"
"11/01/2023","BROOKLYN","513"
"09/28/2023","QUEENS","324"
"09/04/2006","STATEN ISLAND","72"
"12/07/2022","STATEN ISLAND","61"
"03/10/2008","BROOKLYN","419"
"09/09/2022","QUEENS","350"
"07/13/2007","BROOKLYN","467"
"07/11/2006","(null)","1"
"04/09/2020","MANHATTAN","155"
"02/02/2018","BRONX","265"
"03/14/2014","BRONX","316"
"05/21/2006","QUEENS","271"
"12/21/2023","BRONX","284"
"02/16/2023","MANHATTAN","380"
"01/07/2006","BRONX","282"
"08/13/2010","BROOKLYN","440"
"02/04/2006","BROOKLYN","399"
"08/12/2014","QUEENS","235"
"09/27/2019","MANHATTAN","406"
"09/17/2008","BRONX","340"
"10/07/2022","QUEENS","411"
"12/31/2019","QUEENS","195"
"10/28/2024","QUEENS","328"
"12/03/2009","BRONX","294"
"12/18/2012","MANHATTAN","265"
"08/29/2005","BROOKLYN","2"
"11/19/2017","STATEN ISLAND","66"
"06/05/2007","MANHATTAN","369"
"03/13/2013","BRONX","305"
"02/09/2009","BRONX","265"
"04/14/2023","QUEENS","366"
"02/03/2007","MANHATTAN","316"
"03/25/2022","BROOKLYN","412"
"01/02/2011","BROOKLYN","303"
"03/20/2019","BROOKLYN","410"
"05/16/2024","STATEN ISLAND","78"
"05/28/2013","BRONX","316"
"06/14/2005","BROOKLYN","4"
"03/17/2021","BRONX","236"
"06/05/2007","BRONX","392"
"11/18/2007","(null)","4"
"03/30/2023","MANHATTAN","321"
"10/30/2006","MANHATTAN","327"
"03/10/2021","BROOKLYN","332"
"03/04/2012","QUEENS","242"
"10/13/2018","STATEN ISLAND","56"
"04/11/2020","BRONX","175"
"07/21/2018","BROOKLYN","406"
"07/29/2010","STATEN ISLAND","69"
"09/13/2019","STATEN ISLAND","64"
"04/14/2004","STATEN ISLAND","2"
"11/29/2024","(null)","3"
"05/13/2014","QUEENS","296"
"06/07/2019","STATEN ISLAND","66"
"10/25/2010","MANHATTAN","306"
"04/08/2023","BROOKLYN","415"
"07/30/2004","BROOKLYN","2"
"05/04/2005","QUEENS","1"
"12/26/2015","QUEENS","255"
"03/25/2017","BROOKLYN","375"
"03/09/2010","QUEENS","285"
"06/23/1995","QUEENS","1"
"01/30/2009","STATEN ISLAND","67"
"10/08/2002","BRONX","1"
"02/10/2016","BRONX","309"
"06/09/2003","MANHATTAN","1"
"07/18/2015","BRONX","327"
"10/06/2006","BROOKLYN","496"
"05/20/2020","MANHATTAN","237"
"10/05/2021","STATEN ISLAND","55"
"07/06/2020","STATEN ISLAND","47"
"09/09/2016","QUEENS","289"
"04/14/1967","STATEN ISLAND","1"
"08/17/2021","QUEENS","262"
"04/07/2023","BROOKLYN","425"
"01/26/2006","BRONX","282"
"01/06/2009","STATEN ISLAND","48"
"04/17/2020","QUEENS","179"
"01/09/1999","BRONX","2"
"05/08/2006","MANHATTAN","289"
"03/27/2021","MANHATTAN","281"
"08/13/2022","(null)","6"
"01/08/2020","BRONX","273"
"11/22/2014","QUEENS","239"
"10/21/2015","QUEENS","303"
"01/04/2006","MANHATTAN","349"
"07/30/2010","BROOKLYN","403"
"11/12/2007","(null)","3"
"02/22/2012","STATEN ISLAND","73"
"09/10/2011","BRONX","287"
"10/20/2010","BROOKLYN","502"
"03/26/2016","MANHATTAN","321"
"04/15/2015","QUEENS","295"
"09/22/2022","MANHATTAN","376"
"11/09/2005","STATEN ISLAND","2"
"11/06/2017","STATEN ISLAND","36"
"03/27/2019","BROOKLYN","346"
"05/31/2010","QUEENS","195"
"03/11/2020","BROOKLYN","369"
"09/13/2015","BROOKLYN","403"
"08/05/2000","MANHATTAN","1"
"07/25/2020","BRONX","223"
"02/07/2021","BRONX","204"
"05/26/2005","QUEENS","3"
"10/31/2009","STATEN ISLAND","66"
"10/01/1997","BROOKLYN","4"
"10/18/2024","BRONX","386"
"07/27/2015","BRONX","273"
"09/09/2007","QUEENS","317"
"01/20/2012","BROOKLYN","455"
"08/31/2024","BROOKLYN","432"
"11/28/2014","STATEN ISLAND","57"
"07/31/2002","STATEN ISLAND","1"
"11/14/2022","QUEENS","309"
"09/03/2020","MANHATTAN","300"
"05/05/2013","MANHATTAN","288"
"09/27/2024","(null)","2"
"05/26/1993","BROOKLYN","1"
"07/31/2007","QUEENS","306"
"07/12/2007","QUEENS","272"
"07/24/2017","QUEENS","278"
"10/08/2020","BROOKLYN","342"
"06/19/2017","BRONX","299"
"11/30/2017","QUEENS","266"
"05/06/2017","BROOKLYN","395"
"01/07/2019","STATEN ISLAND","55"
"08/30/2021","STATEN ISLAND","60"
"12/25/2007","QUEENS","250"
"04/19/2020","STATEN ISLAND","34"
"05/09/2006","MANHATTAN","357"
"11/12/2009","QUEENS","246"
"11/14/2000","BROOKLYN","1"
"08/01/2005","QUEENS","33"
"06/28/2024","STATEN ISLAND","72"
"02/26/2014","MANHATTAN","285"
"02/10/2021","MANHATTAN","262"
"07/23/2001","BRONX","1"
"07/01/2002","BRONX","7"
"01/01/1982","QUEENS","1"
"11/04/1023","QUEENS","1"
"01/13/2017","BRONX","300"
"11/13/2020","STATEN ISLAND","38"
"03/23/2016","BRONX","291"
"05/25/2005","MANHATTAN","4"
"10/28/2020","MANHATTAN","308"
"08/19/2013","STATEN ISLAND","60"
"01/16/2014","BRONX","284"
"07/11/2016","QUEENS","260"
"06/25/2022","BROOKLYN","443"
"05/04/2004","QUEENS","5"
"02/22/2010","MANHATTAN","291"
"10/17/2012","MANHATTAN","370"
"07/20/2003","QUEENS","1"
"08/27/2007","QUEENS","325"
"02/27/2015","MANHATTAN","329"
"08/08/2024","MANHATTAN","365"
"10/10/2021","(null)","1"
"11/01/2015","BRONX","309"
